Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches,-9999
51,Armel Bella Kotchap,de GER,DF,Southampton,21-108,2001,16.5,0,11,1,9.1,0.67,0.06,0.00,0.00,16.1,0,0,0,0.8,0.8,0.07,-0.8,-0.8,Matches,a39d11bc
52,Saïd Benrahma,dz ALG,FWMF,West Ham,27-231,1995,15.9,4,50,16,32.0,3.15,1.01,0.02,0.06,21.8,4,3,3,5.1,2.8,0.06,-1.1,-1.8,Matches,5a04fd92
53,Rodrigo Bentancur,uy URU,MF,Tottenham,25-277,1997,16.7,5,15,9,60.0,0.90,0.54,0.33,0.56,15.8,0,0,0,2.2,2.2,0.15,+2.8,+2.8,Matches,3b8674e6
54,Victor Bernth Kristiansen,dk DEN,DF,Leicester City,20-103,2002,3.9,0,1,0,0.0,0.26,0.00,0.00,,10.7,0,0,0,0.1,0.1,0.07,-0.1,-0.1,Matches,505486d6
55,Owen Bevan,wls WAL,DF,Bournemouth,19-154,2003,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,87966294
56,Giulian Biancone,fr FRA,DF,Nott'ham Forest,22-363,2000,0.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,de40e38c
57,Philip Billing,dk DEN,MFFW,Bournemouth,26-291,1996,21.7,6,25,14,56.0,1.15,0.65,0.24,0.43,18.8,4,0,0,2.8,2.8,0.11,+3.2,+3.2,Matches,d328a254
58,Yves Bissouma,ml MLI,MF,Tottenham,26-211,1996,9.0,0,5,0,0.0,0.55,0.00,0.00,,26.2,0,0,0,0.2,0.2,0.03,-0.2,-0.2,Matches,6c203af0
59,Willy Boly,ci CIV,DF,Nott'ham Forest,32-054,1991,6.6,0,1,0,0.0,0.15,0.00,0.00,,22.1,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches,a4ac4b8f
60,Sven Botman,nl NED,DF,Newcastle Utd,23-076,2000,22.7,0,14,4,28.6,0.62,0.18,0.00,0.00,11.6,0,0,0,1.1,1.1,0.08,-1.1,-1.1,Matches,ccce7025
61,Jarrod Bowen,eng ENG,FWMF,West Ham,26-099,1996,25.9,4,54,12,22.2,2.09,0.46,0.06,0.25,16.2,1,1,2,6.9,5.8,0.11,-2.9,-2.8,Matches,79c84d1c
62,James Bree,eng ENG,DF,Southampton,25-169,1997,2.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,c07b7c5c
63,Armando Broja,al ALB,FW,Chelsea,21-200,2001,3.3,1,6,5,83.3,1.84,1.53,0.17,0.20,11.0,0,0,0,0.8,0.8,0.14,+0.2,+0.2,Matches,97220da2
64,David Brooks,wls WAL,DF,Bournemouth,25-264,1997,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,dc4cae05
65,Lewis Brunt,eng ENG,DF,Leicester City,22-143,2000,0.3,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,a2081c6b
66,Bryan,es ESP,MFFW,Tottenham,22-046,2001,1.6,0,2,1,50.0,1.22,0.61,0.00,0.00,19.4,0,0,0,0.1,0.1,0.05,-0.1,-0.1,Matches,7b5ab7f2
67,Emi Buendía,ar ARG,MFFW,Aston Villa,26-094,1996,18.1,5,34,8,23.5,1.87,0.44,0.15,0.63,16.3,1,0,0,4.7,4.7,0.14,+0.3,+0.3,Matches,66b76d44
68,Hugo Bueno,es ESP,DF,Wolves,20-192,2002,11.6,0,4,1,25.0,0.35,0.09,0.00,0.00,18.5,0,0,0,0.2,0.2,0.04,-0.2,-0.2,Matches,bfc3b3a0
69,Facundo Buonanotte,ar ARG,FWMF,Brighton,18-096,2004,0.6,0,2,0,0.0,3.60,0.00,0.00,,16.5,0,0,0,0.1,0.1,0.07,-0.1,-0.1,Matches,468a7a91
70,Dan Burn,eng ENG,DF,Newcastle Utd,30-324,1992,24.6,0,12,3,25.0,0.49,0.12,0.00,0.00,11.5,0,0,0,1.1,1.1,0.09,-1.1,-1.1,Matches,b2d31e83
71,Cafú,pt POR,MF,Nott'ham Forest,30-031,1993,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,85322440
72,Moisés Caicedo,ec ECU,MF,Brighton,21-147,2001,23.2,1,17,5,29.4,0.73,0.22,0.06,0.20,23.8,0,0,0,1.1,1.1,0.07,-0.1,-0.1,Matches,16264a81
73,Tom Cairney,sct SCO,MF,Fulham,32-068,1991,5.2,0,11,0,0.0,2.10,0.00,0.00,,20.3,0,0,0,0.6,0.6,0.06,-0.6,-0.6,Matches,a8748947
74,Duje Ćaleta-Car,hr CRO,DF,Southampton,26-193,1996,8.0,0,3,1,33.3,0.38,0.13,0.00,0.00,10.6,0,0,0,0.3,0.3,0.10,-0.3,-0.3,Matches,94f8d10c
75,Dominic Calvert-Lewin,eng ENG,FW,Everton,26-013,1997,8.1,1,16,4,25.0,1.97,0.49,0.06,0.25,10.7,0,0,0,2.9,2.9,0.18,-1.9,-1.9,Matches,59e6e5bf
76,Chem Campbell,wls WAL,FWMF,Wolves,20-089,2002,0.8,0,2,0,0.0,2.43,0.00,0.00,,11.3,0,0,0,0.1,0.1,0.05,-0.1,-0.1,Matches,6f711f67
77,João Cancelo,pt POR,DF,Manchester City,28-306,1994,14.2,2,17,3,17.6,1.20,0.21,0.12,0.67,22.7,0,0,0,0.8,0.8,0.05,+1.2,+1.2,Matches,bd6351cd
78,Thomas Cannon,ie IRL,FW,Everton,20-091,2002,0.3,0,1,1,100.0,3.60,3.60,0.00,0.00,10.8,0,0,0,0.1,0.1,0.09,-0.1,-0.1,Matches,4506aec5
79,Sergi Canós,es ESP,FWDF,Brentford,26-055,1997,0.9,0,1,0,0.0,1.17,0.00,0.00,,16.1,0,0,0,0.1,0.1,0.07,-0.1,-0.1,Matches,1137759d
80,Diego Carlos,br BRA,DF,Aston Villa,30-014,1993,2.0,0,4,0,0.0,2.01,0.00,0.00,,15.7,0,0,0,0.4,0.4,0.09,-0.4,-0.4,Matches,b4a014b1
81,Fabio Carvalho,pt POR,MFFW,Liverpool,20-211,2002,3.8,2,11,4,36.4,2.91,1.06,0.18,0.50,11.5,0,0,0,1.1,1.1,0.10,+0.9,+0.9,Matches,966e28d0
82,Casemiro,br BRA,MF,Manchester Utd,31-034,1992,14.9,2,17,5,29.4,1.14,0.34,0.12,0.40,22.5,0,0,0,2.1,2.1,0.12,-0.1,-0.1,Matches,4d224fe8
83,Matty Cash,pl POL,DF,Aston Villa,25-234,1997,18.2,0,7,1,14.3,0.38,0.05,0.00,0.00,26.9,0,0,0,0.2,0.2,0.03,-0.2,-0.2,Matches,2389cdc2
84,Timothy Castagne,be BEL,DF,Leicester City,27-114,1995,25.2,1,13,3,23.1,0.52,0.12,0.08,0.33,9.5,0,0,0,1.7,1.7,0.13,-0.7,-0.7,Matches,197640fd
85,Jonny Castro,es ESP,DF,Wolves,29-026,1994,14.0,1,9,2,22.2,0.64,0.14,0.11,0.50,24.1,0,0,0,0.3,0.3,0.03,+0.7,+0.7,Matches,e28868f3
86,Julio César Enciso,py PAR,FWMF,Brighton,19-065,2004,1.7,0,11,8,72.7,6.56,4.77,0.00,0.00,23.6,0,0,0,0.7,0.7,0.06,-0.7,-0.7,Matches,9cfbad36
87,Nathaniel Chalobah,eng ENG,MF,Fulham,28-107,1994,0.1,0,1,1,100.0,7.50,7.50,0.00,0.00,10.1,0,0,0,0.1,0.1,0.09,-0.1,-0.1,Matches,422862ea
88,Trevoh Chalobah,eng ENG,DF,Chelsea,23-267,1999,11.2,0,5,1,20.0,0.45,0.09,0.00,0.00,11.1,0,0,0,0.4,0.4,0.08,-0.4,-0.4,Matches,5515376c
89,Calum Chambers,eng ENG,DFMF,Aston Villa,28-068,1995,2.6,0,1,0,0.0,0.38,0.00,0.00,,29.2,0,0,0,0.0,0.0,0.03,0.0,0.0,Matches,dc6f5bdd
90,Ben Chilwell,eng ENG,DFMF,Chelsea,26-098,1996,9.7,2,9,3,33.3,0.93,0.31,0.22,0.67,16.3,0,0,0,0.9,0.9,0.10,+1.1,+1.1,Matches,d2424d1b
91,Ryan Christie,sct SCO,MFFW,Bournemouth,28-035,1995,11.8,1,18,6,33.3,1.52,0.51,0.06,0.17,14.1,0,0,0,1.6,1.6,0.09,-0.6,-0.6,Matches,26ce2263
92,Carney Chukwuemeka,eng ENG,MFFW,Chelsea,19-160,2003,2.6,0,4,1,25.0,1.55,0.39,0.00,0.00,16.4,0,0,0,0.3,0.3,0.07,-0.3,-0.3,Matches,b2f9c73e
93,Bobby Clark,eng ENG,MF,Liverpool,18-050,2005,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,73341ace
94,Nathaniel Clyne,eng ENG,DF,Crystal Palace,31-358,1991,18.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,0442183b
95,Conor Coady,eng ENG,DF,Everton,30-032,1993,21.9,1,4,2,50.0,0.18,0.09,0.25,0.50,8.5,0,0,0,0.8,0.8,0.21,+0.2,+0.2,Matches,2928dca2
96,Jack Colback,eng ENG,MF,Nott'ham Forest,33-156,1989,5.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,963a9201
97,Séamus Coleman,ie IRL,DF,Everton,34-169,1988,16.1,1,5,1,20.0,0.31,0.06,0.20,1.00,20.5,0,0,0,0.3,0.3,0.06,+0.7,+0.7,Matches,0420d84f
98,Nathan Collins,ie IRL,DF,Wolves,21-333,2001,17.5,0,2,0,0.0,0.11,0.00,0.00,,10.8,0,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches,a8c19eb8
99,Levi Colwill,eng ENG,DF,Brighton,20-031,2003,6.1,0,1,0,0.0,0.16,0.00,0.00,,8.1,0,0,0,0.2,0.2,0.18,-0.2,-0.2,Matches,700783e7
100,Lewis Cook,eng ENG,MF,Bournemouth,26-054,1997,16.8,0,5,0,0.0,0.30,0.00,0.00,,28.0,1,0,0,0.2,0.2,0.04,-0.2,-0.2,Matches,2afc7272
101,Steve Cook,eng ENG,DF,Nott'ham Forest,31-344,1991,10.6,0,3,0,0.0,0.28,0.00,0.00,,14.2,0,0,0,0.1,0.1,0.05,-0.1,-0.1,Matches,3e5e4e63
102,Liam Cooper,sct SCO,DF,Leeds United,31-211,1991,12.3,1,9,2,22.2,0.73,0.16,0.11,0.50,8.9,0,0,0,1.0,1.0,0.11,0.0,0.0,Matches,dc64b8b3
103,Maxwel Cornet,ci CIV,FW,West Ham,26-183,1996,1.1,0,4,1,25.0,3.75,0.94,0.00,0.00,9.8,0,0,0,0.5,0.5,0.13,-0.5,-0.5,Matches,beb391dd
104,Diego Costa,es ESP,FW,Wolves,34-173,1988,7.9,0,21,7,33.3,2.66,0.89,0.00,0.00,11.7,0,0,0,2.2,2.2,0.11,-2.2,-2.2,Matches,a190d597
105,Vladimír Coufal,cz CZE,DF,West Ham,30-219,1992,15.8,0,5,0,0.0,0.32,0.00,0.00,,24.3,0,0,0,0.3,0.3,0.05,-0.3,-0.3,Matches,fdf3cb77
106,Philippe Coutinho,br BRA,MFFW,Aston Villa,30-290,1992,8.8,1,21,8,38.1,2.40,0.91,0.05,0.13,21.6,2,0,0,1.4,1.4,0.07,-0.4,-0.4,Matches,0ef89a37
107,Conor Coventry,ie IRL,MFFW,West Ham,23-004,2000,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,a5ca9127
108,Aaron Cresswell,eng ENG,DF,West Ham,33-104,1989,17.5,0,7,1,14.3,0.40,0.06,0.00,0.00,22.8,3,0,0,0.3,0.3,0.04,-0.3,-0.3,Matches,4f974391
109,Marc Cucurella,es ESP,DF,Chelsea,24-250,1998,15.9,0,6,0,0.0,0.38,0.00,0.00,,17.7,0,0,0,0.4,0.4,0.06,-0.4,-0.4,Matches,1daec722
110,Matheus Cunha,br BRA,FW,Wolves,23-306,1999,4.8,1,16,3,18.8,3.30,0.62,0.06,0.33,17.2,0,0,0,1.3,1.3,0.08,-0.3,-0.3,Matches,dc62b55d
111,Patson Daka,zm ZAM,FW,Leicester City,24-171,1998,9.4,4,23,12,52.2,2.44,1.27,0.17,0.33,14.8,0,0,0,2.7,2.7,0.12,+1.3,+1.3,Matches,ca45605e
112,Diogo Dalot,pt POR,DF,Manchester Utd,24-011,1999,16.9,0,17,5,29.4,1.01,0.30,0.00,0.00,19.0,0,0,0,1.7,1.7,0.10,-1.7,-1.7,Matches,d9565625
113,Mikkel Damsgaard,dk DEN,MFFW,Brentford,22-269,2000,5.8,0,6,4,66.7,1.03,0.69,0.00,0.00,19.0,0,0,0,0.6,0.6,0.10,-0.6,-0.6,Matches,215f3907
114,Danilo,br BRA,MF,Nott'ham Forest,21-334,2001,1.6,0,1,0,0.0,0.61,0.00,0.00,,31.9,0,0,0,0.0,0.0,0.03,0.0,0.0,Matches,a816dbfb
115,Arnaut Danjuma,nl NED,FW,Tottenham,26-057,1997,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,f08490a6
116,Josh Dasilva,eng ENG,MF,Brentford,24-157,1998,12.5,3,14,5,35.7,1.12,0.40,0.21,0.60,20.8,0,0,0,1.0,1.0,0.07,+2.0,+2.0,Matches,60344e4f
117,Ben Davies,wls WAL,DF,Tottenham,29-339,1993,20.3,2,14,5,35.7,0.69,0.25,0.14,0.40,16.7,0,0,0,1.0,1.0,0.07,+1.0,+1.0,Matches,44781702
118,Tom Davies,eng ENG,MF,Everton,24-272,1998,5.3,0,9,2,22.2,1.70,0.38,0.00,0.00,15.7,0,0,0,1.2,1.2,0.13,-1.2,-1.2,Matches,9228b07c
119,Craig Dawson,eng ENG,DF,West Ham,32-327,1990,8.0,0,6,1,16.7,0.75,0.12,0.00,0.00,15.1,0,0,0,0.5,0.5,0.08,-0.5,-0.5,Matches,3e9e06cb
120,Craig Dawson,eng ENG,DF,Wolves,32-327,1990,7.5,1,6,2,33.3,0.80,0.27,0.17,0.50,9.3,0,0,0,0.6,0.6,0.10,+0.4,+0.4,Matches,3e9e06cb
121,Kevin De Bruyne,be BEL,MF,Manchester City,31-274,1991,21.5,4,57,18,31.6,2.65,0.84,0.07,0.22,23.7,7,0,0,4.1,4.1,0.07,-0.1,-0.1,Matches,e46012d4
122,Siriki Dembélé,ci CIV,FWMF,Bournemouth,26-203,1996,1.2,0,2,2,100.0,1.64,1.64,0.00,0.00,16.6,0,0,0,0.2,0.2,0.09,-0.2,-0.2,Matches,11f54bd5
123,Leander Dendoncker,be BEL,MF,Aston Villa,27-348,1995,4.1,0,1,0,0.0,0.25,0.00,0.00,,23.2,0,0,0,0.0,0.0,0.04,0.0,0.0,Matches,5a7301ae
124,Leander Dendoncker,be BEL,MF,Wolves,27-348,1995,2.4,0,3,2,66.7,1.26,0.84,0.00,0.00,16.7,0,0,0,0.7,0.7,0.22,-0.7,-0.7,Matches,5a7301ae
125,Emmanuel Dennis,ng NGA,FW,Nott'ham Forest,25-134,1997,6.1,2,13,4,30.8,2.12,0.65,0.15,0.50,13.3,2,0,0,1.2,1.2,0.09,+0.8,+0.8,Matches,2c44a35d
126,Halil Dervişoğlu,tr TUR,MF,Brentford,23-111,1999,0.1,0,1,0,0.0,11.25,0.00,0.00,,31.9,0,0,0,0.0,0.0,0.03,0.0,0.0,Matches,9d8cf204
127,Kiernan Dewsbury-Hall,eng ENG,MF,Leicester City,24-204,1998,21.7,2,23,6,26.1,1.06,0.28,0.09,0.33,21.8,0,0,0,2.1,2.1,0.09,-0.1,-0.1,Matches,5c74c0f5
128,Ibrahima Diallo,fr FRA,MF,Southampton,24-021,1999,8.9,0,6,0,0.0,0.67,0.00,0.00,,28.4,0,0,0,0.2,0.2,0.03,-0.2,-0.2,Matches,11ff3d56
129,Rúben Dias,pt POR,DF,Manchester City,25-319,1997,15.2,0,10,2,20.0,0.66,0.13,0.00,0.00,9.1,0,0,0,1.3,1.3,0.13,-1.3,-1.3,Matches,31c69ef1
130,Luis Díaz,co COL,FW,Liverpool,26-075,1997,6.8,3,16,7,43.8,2.35,1.03,0.19,0.43,13.3,0,0,0,1.7,1.7,0.11,+1.3,+1.3,Matches,4a1a9578
131,Eric Dier,eng ENG,DF,Tottenham,29-073,1994,25.3,2,16,4,25.0,0.63,0.16,0.13,0.50,12.1,2,0,0,1.2,1.2,0.08,+0.8,+0.8,Matches,ac861941
132,Lucas Digne,fr FRA,DF,Aston Villa,29-252,1993,14.3,1,7,3,42.9,0.49,0.21,0.14,0.33,20.3,3,0,0,0.3,0.3,0.05,+0.7,+0.7,Matches,1b84dbe1
133,Issa Diop,fr FRA,DF,Fulham,26-079,1997,15.7,1,3,2,66.7,0.19,0.13,0.33,0.50,12.3,0,0,0,0.3,0.3,0.09,+0.7,+0.7,Matches,a712ca2b
134,Moussa Djenepo,ml MLI,DFFW,Southampton,24-287,1998,6.4,0,3,2,66.7,0.47,0.31,0.00,0.00,13.8,0,0,0,0.2,0.2,0.06,-0.2,-0.2,Matches,254147d4
135,Ben Doak,sct SCO,FW,Liverpool,17-138,2005,0.3,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,733f1a7d
136,Matt Doherty,ie IRL,DFMF,Tottenham,31-072,1992,7.4,1,10,2,20.0,1.35,0.27,0.10,0.50,12.1,0,0,0,0.8,0.8,0.08,+0.2,+0.2,Matches,d557d734
137,Gabriel Dos Santos,br BRA,DF,Arsenal,25-100,1997,27.9,3,23,8,34.8,0.82,0.29,0.13,0.38,13.0,0,0,0,3.8,3.8,0.16,-0.8,-0.8,Matches,67ac5bb8
138,Abdoulaye Doucouré,ml MLI,MF,Everton,30-087,1993,10.4,2,11,3,27.3,1.06,0.29,0.18,0.67,11.5,0,0,0,1.3,1.3,0.12,+0.7,+0.7,Matches,02b29014
139,Cheick Doucouré,ml MLI,MF,Crystal Palace,23-080,2000,22.5,0,25,5,20.0,1.11,0.22,0.00,0.00,26.2,0,0,0,0.8,0.8,0.03,-0.8,-0.8,Matches,ce4f40c7
140,Flynn Downes,eng ENG,MF,West Ham,24-068,1999,4.4,0,2,0,0.0,0.45,0.00,0.00,,14.7,0,0,0,0.2,0.2,0.12,-0.2,-0.2,Matches,69fdb896
141,Cody Drameh,eng ENG,DF,Leeds United,21-111,2001,0.8,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,e0d1510a
142,Martin Dúbravka,sk SVK,GK,Newcastle Utd,34-073,1989,0.7,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,3a949a25
143,Shane Duffy,ie IRL,FWDF,Fulham,31-087,1992,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,7314bba4
144,Lewis Dunk,eng ENG,DF,Brighton,31-128,1991,25.0,0,14,1,7.1,0.56,0.04,0.00,0.00,11.9,0,0,0,1.1,1.1,0.08,-1.1,-1.1,Matches,282f75f3
145,Jhon Durán,co COL,FW,Aston Villa,19-106,2003,0.8,0,7,2,28.6,8.87,2.54,0.00,0.00,19.8,0,0,0,0.6,0.6,0.08,-0.6,-0.6,Matches,414184f7
146,Malcolm Ebiowei,eng ENG,MFFW,Crystal Palace,19-206,2003,0.4,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,fa9fa773
147,Ederson,br BRA,GK,Manchester City,29-224,1993,27.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,3bb7b8b4
148,Odsonne Édouard,fr FRA,FW,Crystal Palace,25-072,1998,14.2,3,28,11,39.3,1.97,0.78,0.11,0.27,12.7,0,0,0,3.1,3.1,0.11,-0.1,-0.1,Matches,0562b7f1
149,Samuel Edozie,eng ENG,FWMF,Southampton,20-060,2003,6.0,0,8,3,37.5,1.33,0.50,0.00,0.00,16.5,0,0,0,0.9,0.9,0.11,-0.9,-0.9,Matches,007414dd
150,Anthony Elanga,se SWE,FW,Manchester Utd,20-336,2002,4.7,0,10,4,40.0,2.11,0.85,0.00,0.00,13.8,0,0,0,0.7,0.7,0.07,-0.7,-0.7,Matches,2fba6108
151,Harvey Elliott,eng ENG,MFFW,Liverpool,19-359,2003,15.9,1,28,10,35.7,1.76,0.63,0.04,0.10,19.0,0,0,0,1.7,1.7,0.06,-0.7,-0.7,Matches,c8387671
