Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches,-9999
523,James Ward-Prowse,eng ENG,MF,Southampton,28-148,1994,28.0,7,36,13,36.1,1.29,0.46,0.17,0.46,27.4,15,1,3,4.8,2.3,0.06,+2.2,+3.7,Matches,3515d404
524,Ollie Watkins,eng ENG,FW,Aston Villa,27-089,1995,23.8,9,57,31,54.4,2.39,1.30,0.14,0.26,12.2,0,1,1,10.3,9.5,0.17,-1.3,-1.5,Matches,aed3a70f
525,Adam Webster,eng ENG,DF,Brighton,28-084,1995,16.6,0,15,1,6.7,0.90,0.06,0.00,0.00,11.3,0,0,0,1.6,1.6,0.10,-1.6,-1.6,Matches,c40b6180
526,Wout Weghorst,nl NED,FWMF,Manchester Utd,30-234,1992,6.2,0,9,3,33.3,1.46,0.49,0.00,0.00,12.3,0,0,0,1.3,1.3,0.14,-1.3,-1.3,Matches,c4e87b8b
527,Danny Welbeck,eng ENG,FW,Brighton,32-123,1990,14.0,2,36,14,38.9,2.58,1.00,0.06,0.14,13.8,0,0,0,5.4,5.4,0.15,-3.4,-3.4,Matches,ce5143da
528,Ben White,eng ENG,DF,Arsenal,25-172,1997,23.9,1,7,1,14.3,0.29,0.04,0.14,1.00,19.7,0,0,0,0.4,0.4,0.06,+0.6,+0.6,Matches,35e413f1
529,Harvey White,eng ENG,MF,Tottenham,21-191,2001,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,4d90ce8c
530,Joseph Whitworth,eng ENG,GK,Crystal Palace,19-028,2004,2.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,3f847d95
531,Neco Williams,wls WAL,DF,Nott'ham Forest,21-350,2001,15.2,0,21,5,23.8,1.38,0.33,0.00,0.00,22.0,2,0,0,1.0,1.0,0.05,-1.0,-1.0,Matches,dd323728
532,Willian,br BRA,FW,Fulham,34-232,1988,16.2,3,24,11,45.8,1.48,0.68,0.13,0.27,16.4,0,0,0,2.5,2.5,0.10,+0.5,+0.5,Matches,8b9ebd03
